,geneid_symbol,S1,S2,S3,S4,S5,S6,I44,I51,I55,I69,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000002767.14_ Mrpl2, Mrpl2,93.631948,84.077346,82.838805,103.556851,91.449103,85.90298,94.046019,100.860761,86.427796,91.433574, Mrpl2,840.9007365,-0.341492707,0.113140469,-3.018307323,0.00254191,0.009431253
ENSMUSG00000002768.9_ Mea1, Mea1,25.151435,23.290232,22.783422,22.540051,23.090398,21.316795,26.106911,32.7435,23.324508,32.569667, Mea1,183.6623219,-0.026737631,0.118648934,-0.225350786,0.821706394,0.885944045
ENSMUSG00000002769.10_ Gnmt, Gnmt,3.177687,1.548768,5.073834,2.973982,3.792554,2.24071,1.912487,1.947234,3.1029,1.362402, Gnmt,25.766848,-0.97833735,0.407896343,-2.398495028,0.0164626,0.043477979
ENSMUSG00000002771.13_ Grin2d, Grin2d,0.300509,0.484411,0.359031,0.526887,0.676778,0.429178,1.011749,1.266319,0.644185,2.152062, Grin2d,40.1460587,0.961861729,0.298593844,3.221304623,0.001276084,0.005337892
ENSMUSG00000002778.15_ Kdelr1, Kdelr1,54.576447,64.703889,58.99551,57.105268,60.83441,67.996077,71.266898,104.66294,72.44594,114.283388, Kdelr1,866.4954463,0.190688359,0.072589099,2.626955879,0.00861525,0.025704582
ENSMUSG00000002781.20_ Tmem143, Tmem143,57.927048,60.124591,59.013813,65.026116,56.95557,63.231387,47.636946,46.586205,54.089686,46.085932, Tmem143,1304.521101,-0.767621462,0.126383163,-6.073763664,1.25E-09,3.81E-08
ENSMUSG00000002797.10_ Ggct, Ggct,15.323323,11.971685,12.468729,6.624852,8.208141,9.905598,13.278763,14.711362,8.865529,10.083594, Ggct,130.1542039,-0.32480035,0.14472368,-2.244279235,0.024814441,0.060898038
ENSMUSG00000002799.7_ Jag2, Jag2,16.501828,13.875911,17.114289,16.965357,13.971798,17.125493,13.94806,17.815816,16.875713,27.847145, Jag2,564.3368829,-0.108160117,0.116687101,-0.926924364,0.353965806,0.488575671
ENSMUSG00000002803.15_ Btbd6, Btbd6,11.636831,12.888978,13.816669,13.118894,10.027666,18.969504,12.109865,17.71496,17.428941,17.610167, Btbd6,266.0292256,-0.164007703,0.12771776,-1.284141711,0.199092376,0.317917302
ENSMUSG00000002804.5_ Nudt14, Nudt14,5.358587,5.657565,4.3724,5.344602,4.981268,2.634255,5.363606,7.507038,6.610002,9.102597, Nudt14,44.03716882,0.251552539,0.231417548,1.087007191,0.277033632,0.408447021
ENSMUSG00000002808.8_ Epdr1, Epdr1,15.863168,12.626079,13.537884,13.461193,16.172497,15.629441,13.895052,14.037046,16.060101,14.651332, Epdr1,362.9868553,-0.350730474,0.135795493,-2.582784351,0.009800656,0.028459115
ENSMUSG00000002812.5_ Flii, Flii,44.888401,67.457094,51.612469,53.246963,53.081686,45.673808,60.392925,86.287177,61.278058,74.996557, Flii,2050.102596,-0.050066604,0.065634428,-0.762810098,0.445576658,0.579687405
ENSMUSG00000002814.16_ Top3a, Top3a,3.645933,2.281374,2.09399,2.295515,2.463405,2.437331,2.098826,3.852265,2.342131,4.1802, Top3a,104.7241769,-0.030365673,0.191640088,-0.158451568,0.874100981,0.920660711
ENSMUSG00000002820.7_ Atg4d, Atg4d,30.049069,27.246982,27.571518,37.37587,30.076605,27.979567,29.614836,32.666046,31.903824,29.608705, Atg4d,623.3289301,-0.17225006,0.104041378,-1.655591879,0.097804496,0.183830386
ENSMUSG00000002825.9_ Qtrt1, Qtrt1,5.983437,5.001812,4.928027,6.788637,7.308813,10.082641,5.925273,5.735788,6.383168,10.3216, Qtrt1,65.00513323,-0.215447546,0.213261465,-1.010250712,0.312375189,0.445861592
ENSMUSG00000002831.16_ Plin4, Plin4,65.293295,104.958921,99.761058,85.392542,77.968168,93.254674,50.439299,60.675271,77.553993,57.487639, Plin4,5536.965797,-0.877490029,0.152972547,-5.736258195,9.68E-09,2.27E-07
ENSMUSG00000002833.12_ Hdgfl2, Hdgfl2,22.584359,32.884688,28.388339,29.952844,23.72591,38.101644,28.166914,32.706803,30.407364,37.854799, Hdgfl2,565.5451596,-0.152204782,0.081355479,-1.870860865,0.061364369,0.126055605
ENSMUSG00000002835.10_ Chaf1a, Chaf1a,1.548345,2.554254,2.05404,2.227049,2.265833,1.847933,2.466894,3.489103,2.709915,4.219842, Chaf1a,163.4533357,0.218401524,0.140890265,1.550153409,0.121104699,0.217222959
ENSMUSG00000002844.10_ Adprh, Adprh,12.058495,14.091728,11.33839,13.589785,12.058483,12.658667,16.294791,20.124935,15.551173,22.177, Adprh,468.8134461,0.156997102,0.077008465,2.038699285,0.041480049,0.092310888
ENSMUSG00000002845.15_ Tmem39a, Tmem39a,11.961626,8.12726,7.359886,8.972825,6.743391,12.318583,17.510257,13.94508,11.249419,33.866426, Tmem39a,128.5595771,0.590155306,0.189212579,3.119006728,0.001814618,0.007159086
